county,feature,group,positive_count,negative_count,local_effect,global_effect,smoothed_effect,reliability_level
Karamürsel,view_park_green,view,60,,-0.02312966094789887,0.00722331105518581,-0.02312966094789887,county
İzmit,view_park_green,view,533,,0.010659091048057963,0.00722331105518581,0.010659091048057963,county
Başiskele,view_pool,view,54,,0.1255812692808807,0.1401198121713696,0.1255812692808807,county
Gölcük,view_pool,view,14,,0.18041455393131714,0.1401198121713696,0.18041455393131714,global_fallback
Karamürsel,view_pool,view,2,,0.1401198121713696,0.1401198121713696,0.1401198121713696,global_fallback
İzmit,view_pool,view,47,,0.15114016674729197,0.1401198121713696,0.15114016674729197,county
Başiskele,view_river,view,3,,-0.010130937840877052,-0.010365504142107795,-0.010130937840877052,global_fallback
Gölcük,view_river,view,1,,-0.010365504142107795,-0.010365504142107795,-0.010365504142107795,global_fallback
Karamürsel,view_river,view,0,,-0.010365504142107795,-0.010365504142107795,-0.010365504142107795,global_fallback
İzmit,view_river,view,3,,-0.011412887736937657,-0.010365504142107795,-0.011412887736937657,global_fallback
Başiskele,view_score,view,603,,0.0022578374146233304,0.006320268661588635,0.0022578374146233304,county
Gölcük,view_score,view,333,,0.006147192224921552,0.006320268661588635,0.006147192224921552,county
Karamürsel,view_score,view,127,,-0.06878658721024788,0.006320268661588635,-0.06878658721024788,county
İzmit,view_score,view,954,,0.02204567149780773,0.006320268661588635,0.02204567149780773,county
Başiskele,view_sea,view,182,,0.010155328892236654,0.009953723971396933,0.010155328892236654,county
Gölcük,view_sea,view,157,,-0.0008294059701297331,0.009953723971396933,-0.0008294059701297331,county
Karamürsel,view_sea,view,76,,-0.002777964942706072,0.009953723971396933,-0.002777964942706072,county
İzmit,view_sea,view,257,,0.020568879233059657,0.009953723971396933,0.020568879233059657,county
