site_project_id,n,mean_actual,mean_pred,mean_residual
basiskele::marmara_elit_yapi_kooperatifi,1,40347.83,37922.465654176005,-2425.3643458239967
basiskele::manar_terrace,2,40307.92,37902.77704633978,-2405.142953660219
golcuk::rakicioglu,1,27517.24,25122.87305430043,-2394.3669456995704
kartepe::a_plus,1,38043.48,35670.529086911294,-2372.950913088709
izmit::bagcesme_modern,7,50755.14,48399.72832634637,-2355.411673653633
izmit::kavanium,2,53337.9,51021.53023455839,-2316.3697654416064
basiskele::vizyon_dan_basiskelede,1,48625.0,46329.88024311002,-2295.1197568899806
basiskele::vira,1,35348.84,33056.49057788202,-2292.349422117979
kartepe::neff_vizyon,1,44615.38,42324.555190077255,-2290.824809922742
izmit::remax_dream_dunya_bankasi,1,35263.16,32981.111272622606,-2282.048727377398
golcuk::beyaz_vadi,1,35227.27,32964.72041557198,-2262.549584428016
izmit::jasmin_country,2,44502.84,42270.91086964916,-2231.9291303508435
izmit::green_hill_city,4,50742.815,48516.082306321565,-2226.7326936784357
basiskele::gokce,1,36475.41,34261.65131626143,-2213.758683738575
izmit::myra_2,1,56862.75,54662.5942487086,-2200.1557512914005
kartepe::dubleks_kent,1,37458.33,35273.11731997733,-2185.212680022669
golcuk::balaban_city,2,43620.130000000005,41441.28639345603,-2178.8436065439746
golcuk::100_yil_bariser,2,46964.285,44789.50583248823,-2174.7791675117733
izmit::ates,1,27083.33,24931.424784965006,-2151.905215034996
golcuk::hisareynde,1,36551.72,34408.98619074111,-2142.7338092588907
kartepe::sifir,1,42605.63,40483.185601398014,-2122.4443986019833
izmit::armada_kent_5,2,72795.455,70679.34722797252,-2116.1077720274698
golcuk::bayindirlik_kalici_konutlari_539_ada,1,26923.08,24819.647683596926,-2103.4323164030757
kartepe::tac_yaprak,1,34800.0,32708.002398226286,-2091.9976017737135
izmit::iztop_park_evleri_831_ada,3,49912.496666666666,47823.37140225233,-2089.125264414341
izmit::sehr_i_naz,2,46416.665,44337.20046794922,-2079.4645320507843
kartepe::meltem,1,35769.23,33705.484018140414,-2063.745981859589
basiskele::oksijen_konaklari,3,43522.72666666666,41484.21988966482,-2038.5067770018504
golcuk::sarayli_kalici_konutlari_182_ada,1,33636.36,31609.626049561903,-2026.733950438098
golcuk::civan_park,1,36944.44,34920.902615513936,-2023.537384486066
izmit::iz_tepe,1,34033.61,32016.157219574456,-2017.452780425545
golcuk::goztepe,1,33071.43,31063.410521447768,-2008.0194785522326
izmit::cukurbag_mah_guneskent,1,31818.18,29824.773954494143,-1993.406045505857
izmit::yelkent_tetra,4,39168.42,37175.71038730095,-1992.7096126990564
kartepe::mercan,2,40416.665,38446.01303850905,-1970.6519614909485
izmit::kavanium_bagcesme,1,52777.78,50816.73957304621,-1961.0404269537903
golcuk::golcuk_hisareyn_de,1,31666.67,29706.89745032241,-1959.7725496775893
golcuk::cb_envoy_golcuk_mh_faralya,1,33544.3,31609.94721151412,-1934.3527884858813
basiskele::yuvacik_pasadag_yesil_vadi,1,41000.0,39079.18039910875,-1920.8196008912491
izmit::dunya_bankasi_konutlari_24_ada,1,36388.89,34482.23511193319,-1906.6548880668124
izmit::myra_sitesi_3,6,50248.76666666666,48346.34474620325,-1902.4219204634198
kartepe::kartele,1,44193.55,42298.184521357696,-1895.3654786423067
basiskele::mona_vadi,1,31276.6,29386.093118259814,-1890.5068817401843
kartepe::rose_garden,1,46575.34,44686.93764588517,-1888.4023541148272
kartepe::kent_meydaninda_1_99_krediyle,1,43809.51,41921.995207842665,-1887.514792157337
basiskele::aydinkent_kalici_konutlari_20_ada,1,34000.0,32114.881094501543,-1885.118905498457
basiskele::alizepark_city,5,46178.534,44311.97946700761,-1866.5545329923946
izmit::hatipoglu,3,35926.87333333333,34060.85196163281,-1866.0213717005197
basiskele::torpidocular,1,30769.23,28910.241150335805,-1858.9888496641943
basiskele::pasadag_100_yil_parla,1,50000.0,48148.65607983766,-1851.3439201623405
basiskele::kredili_dusuk_faiz_yuksek_konforlu,1,50000.0,48150.21097632804,-1849.7890236719613
basiskele::pasadagi,1,36756.76,34938.139575883964,-1818.6204241160376
golcuk::toki,2,33787.88,31996.72674840298,-1791.1532515970157
izmit::concept_yahyakaptan,1,46285.71,44531.70500054321,-1754.004999456789
izmit::izmitkent_konutlari_3,17,42559.21,40809.74377951,-1749.4662204899985
izmit::kavanyum_bagcesme,2,40805.085,39060.605333024476,-1744.4796669755196
golcuk::revna_life,1,45517.24,43775.65785106098,-1741.5821489390146
basiskele::supark_megaron,1,41319.44,39587.527356128696,-1731.9126438713065
kartepe::kartepe_ertugrulgazi_havz_hmm_saunli,1,45000.0,43279.29511432461,-1720.70488567539
golcuk::kavanium_2,4,43643.520000000004,41941.58692589185,-1701.933074108154
kartepe::kartepe_aslanbey_veralife,1,33368.42,31673.49593621637,-1694.9240637836265
izmit::ekol_den_karadenizliler_mah_hls_yapi_da,1,40761.9,39072.14052664596,-1689.759473354039
basiskele::armoni_2,1,49583.33,47900.99234058512,-1682.3376594148795
