county,feature,group,positive_count,negative_count,local_effect,global_effect,smoothed_effect,reliability_level
Kartepe,near_pharmacy,nearby,517,,0.021887767278055942,0.0017029408690101278,0.021887767278055942,county
İzmit,near_pharmacy,nearby,1452,,0.0029478997296801084,0.0017029408690101278,0.0029478997296801084,county
Başiskele,near_school,nearby,1147,,-0.009336164884716103,0.0006326740715909551,-0.009336164884716103,county
Gölcük,near_school,nearby,661,,-0.0060250114842618635,0.0006326740715909551,-0.0060250114842618635,county
Karamürsel,near_school,nearby,196,,-0.03875776146267096,0.0006326740715909551,-0.03875776146267096,county
Kartepe,near_school,nearby,560,,0.01743003922972593,0.0006326740715909551,0.01743003922972593,county
İzmit,near_school,nearby,1616,,0.004561858802015939,0.0006326740715909551,0.004561858802015939,county
Başiskele,near_sea_zero,nearby,44,,0.006948943133225156,0.03129022549777183,0.006948943133225156,county
Gölcük,near_sea_zero,nearby,55,,0.023912732364694718,0.03129022549777183,0.023912732364694718,county
Karamürsel,near_sea_zero,nearby,28,,0.06899696779693347,0.03129022549777183,0.06899696779693347,global_fallback
Kartepe,near_sea_zero,nearby,2,,0.03129022549777183,0.03129022549777183,0.03129022549777183,global_fallback
İzmit,near_sea_zero,nearby,48,,0.080215420770776,0.03129022549777183,0.080215420770776,county
Başiskele,near_university,nearby,595,,-0.004781642464965579,0.00012437281899657648,-0.004781642464965579,county
Gölcük,near_university,nearby,148,,-0.03941295629688127,0.00012437281899657648,-0.03941295629688127,county
Karamürsel,near_university,nearby,59,,-0.017002274169823316,0.00012437281899657648,-0.017002274169823316,county
Kartepe,near_university,nearby,223,,0.014433471591799255,0.00012437281899657648,0.014433471591799255,county
İzmit,near_university,nearby,884,,0.012950816896581499,0.00012437281899657648,0.012950816896581499,county
Başiskele,out_camera,outside,469,,0.05409006531858753,0.0680583959169967,0.05409006531858753,county
Gölcük,out_camera,outside,168,,0.06984013826938452,0.0680583959169967,0.06984013826938452,county
Karamürsel,out_camera,outside,35,,0.06389050814626435,0.0680583959169967,0.06389050814626435,county
Kartepe,out_camera,outside,252,,0.07112733724914533,0.0680583959169967,0.07112733724914533,county
İzmit,out_camera,outside,681,,0.08017804142446365,0.0680583959169967,0.08017804142446365,county
Başiskele,out_children_playground,outside,412,,0.03326078545490926,0.04570877228343395,0.03326078545490926,county
Gölcük,out_children_playground,outside,123,,0.041473485000285686,0.04570877228343395,0.041473485000285686,county
Karamürsel,out_children_playground,outside,26,,0.04472091784549097,0.04570877228343395,0.04472091784549097,global_fallback
Kartepe,out_children_playground,outside,234,,0.0531939114581114,0.04570877228343395,0.0531939114581114,county
İzmit,out_children_playground,outside,606,,0.05690274235581769,0.04570877228343395,0.05690274235581769,county
Başiskele,out_closed_pool,outside,66,,0.13169168759067865,0.10661589472388044,0.13169168759067865,county
Gölcük,out_closed_pool,outside,3,,0.08471609131168947,0.10661589472388044,0.08471609131168947,global_fallback
Karamürsel,out_closed_pool,outside,0,,0.10661589472388044,0.10661589472388044,0.10661589472388044,global_fallback
Kartepe,out_closed_pool,outside,54,,0.09872198264295351,0.10661589472388044,0.09872198264295351,county
İzmit,out_closed_pool,outside,56,,0.10450240495026551,0.10661589472388044,0.10450240495026551,county
Başiskele,out_generator,outside,44,,0.10578385560213416,0.12753279351598312,0.10578385560213416,county
Gölcük,out_generator,outside,3,,0.12305238374619366,0.12753279351598312,0.12305238374619366,global_fallback
Karamürsel,out_generator,outside,5,,0.12708403120440048,0.12753279351598312,0.12708403120440048,global_fallback
Kartepe,out_generator,outside,30,,0.09774653820312684,0.12753279351598312,0.09774653820312684,county
İzmit,out_generator,outside,108,,0.15476722402141121,0.12753279351598312,0.15476722402141121,county
Başiskele,out_heat_insulation,outside,914,,0.0005534000464562712,0.015596891606532104,0.0005534000464562712,county
Gölcük,out_heat_insulation,outside,476,,0.010596585138491712,0.015596891606532104,0.010596585138491712,county
Karamürsel,out_heat_insulation,outside,136,,0.0013813285305475142,0.015596891606532104,0.0013813285305475142,county
Kartepe,out_heat_insulation,outside,447,,0.0220076893192268,0.015596891606532104,0.0220076893192268,county
İzmit,out_heat_insulation,outside,1165,,0.02671996037994687,0.015596891606532104,0.02671996037994687,county
Başiskele,out_hydrofor,outside,58,,0.010839876498305132,0.03632956816110244,0.010839876498305132,county
Gölcük,out_hydrofor,outside,20,,0.03838724585529972,0.03632956816110244,0.03838724585529972,global_fallback
Karamürsel,out_hydrofor,outside,9,,0.011624459732946655,0.03632956816110244,0.011624459732946655,global_fallback
Kartepe,out_hydrofor,outside,40,,0.048519268122478545,0.03632956816110244,0.048519268122478545,county
İzmit,out_hydrofor,outside,165,,0.05994957438707928,0.03632956816110244,0.05994957438707928,county
Başiskele,out_open_pool,outside,292,,0.12135785990603701,0.11548861557246681,0.12135785990603701,county
Gölcük,out_open_pool,outside,61,,0.12520829136306105,0.11548861557246681,0.12520829136306105,county
Karamürsel,out_open_pool,outside,14,,0.10034665748468191,0.11548861557246681,0.10034665748468191,global_fallback
Kartepe,out_open_pool,outside,150,,0.11152166828662957,0.11548861557246681,0.11152166828662957,county
İzmit,out_open_pool,outside,239,,0.11536324987119988,0.11548861557246681,0.11536324987119988,county
Başiskele,out_pool,outside,306,,0.11440959224322479,0.10836113811600434,0.11440959224322479,county
Gölcük,out_pool,outside,64,,0.1172953173165818,0.10836113811600434,0.1172953173165818,county
Karamürsel,out_pool,outside,14,,0.0947783157218206,0.10836113811600434,0.0947783157218206,global_fallback
Kartepe,out_pool,outside,155,,0.09932739001559797,0.10836113811600434,0.09932739001559797,county
İzmit,out_pool,outside,273,,0.10909015799968796,0.10836113811600434,0.10909015799968796,county
Başiskele,out_sauna_hamam,outside,108,,0.08371674272605262,0.10079684131186006,0.08371674272605262,county
Gölcük,out_sauna_hamam,outside,10,,0.12502013477110507,0.10079684131186006,0.12502013477110507,global_fallback
Karamürsel,out_sauna_hamam,outside,1,,0.10079684131186006,0.10079684131186006,0.10079684131186006,global_fallback
Kartepe,out_sauna_hamam,outside,69,,0.10387098450194601,0.10079684131186006,0.10387098450194601,county
İzmit,out_sauna_hamam,outside,83,,0.10016362642518478,0.10079684131186006,0.10016362642518478,county
Başiskele,out_security,outside,345,,0.08263670051120732,0.08902831978632353,0.08263670051120732,county
Gölcük,out_security,outside,59,,0.11256350367806564,0.08902831978632353,0.11256350367806564,county
Karamürsel,out_security,outside,15,,0.07732492970515883,0.08902831978632353,0.07732492970515883,global_fallback
Kartepe,out_security,outside,149,,0.08404204571375401,0.08902831978632353,0.08404204571375401,county
İzmit,out_security,outside,395,,0.09733898425046979,0.08902831978632353,0.09733898425046979,county
Başiskele,out_sound_insulation,outside,722,,-0.0016381742097526222,0.01846664549289656,-0.0016381742097526222,county
Gölcük,out_sound_insulation,outside,280,,0.01617602141052697,0.01846664549289656,0.01617602141052697,county
Karamürsel,out_sound_insulation,outside,74,,0.05539826557939573,0.01846664549289656,0.05539826557939573,county
Kartepe,out_sound_insulation,outside,372,,0.022623067115177736,0.01846664549289656,0.022623067115177736,county
İzmit,out_sound_insulation,outside,757,,0.030269806797162072,0.01846664549289656,0.030269806797162072,county
Başiskele,out_sports_area,outside,255,,0.06288053563199404,0.0706537275663841,0.06288053563199404,county
Gölcük,out_sports_area,outside,62,,0.05620247390537695,0.0706537275663841,0.05620247390537695,county
Karamürsel,out_sports_area,outside,11,,0.05445486339275024,0.0706537275663841,0.05445486339275024,global_fallback
Kartepe,out_sports_area,outside,121,,0.05816474369967489,0.0706537275663841,0.05816474369967489,county
İzmit,out_sports_area,outside,328,,0.08058078792438063,0.0706537275663841,0.08058078792438063,county
Başiskele,subtype_duplex,subtype,721,,-0.056242934296285796,-0.03282529442666959,-0.056242934296285796,county
Gölcük,subtype_duplex,subtype,340,,0.00027379244218543423,-0.03282529442666959,0.00027379244218543423,county
Karamürsel,subtype_duplex,subtype,82,,0.04147529239182522,-0.03282529442666959,0.04147529239182522,county
Kartepe,subtype_duplex,subtype,299,,-0.04602036206572484,-0.03282529442666959,-0.04602036206572484,county
İzmit,subtype_duplex,subtype,496,,-0.03741793348474204,-0.03282529442666959,-0.03741793348474204,county
Başiskele,subtype_garden_duplex,subtype,212,,-0.035257084496172875,-0.020255507006972984,-0.035257084496172875,county
Gölcük,subtype_garden_duplex,subtype,97,,-0.007841811663657446,-0.020255507006972984,-0.007841811663657446,county
Karamürsel,subtype_garden_duplex,subtype,26,,0.04138137019414639,-0.020255507006972984,0.04138137019414639,global_fallback
Kartepe,subtype_garden_duplex,subtype,18,,-0.022411668841051707,-0.020255507006972984,-0.022411668841051707,global_fallback
İzmit,subtype_garden_duplex,subtype,127,,-0.0019149712022050128,-0.020255507006972984,-0.0019149712022050128,county
Başiskele,subtype_middle_floor,subtype,462,,0.0736883572581363,0.05790876010555479,0.0736883572581363,county
Gölcük,subtype_middle_floor,subtype,323,,0.030873198578861318,0.05790876010555479,0.030873198578861318,county
Karamürsel,subtype_middle_floor,subtype,123,,0.015531570279472214,0.05790876010555479,0.015531570279472214,county
Kartepe,subtype_middle_floor,subtype,212,,0.061086403207501125,0.05790876010555479,0.061086403207501125,county
İzmit,subtype_middle_floor,subtype,1010,,0.06177020684140014,0.05790876010555479,0.06177020684140014,county
Başiskele,subtype_reverse_duplex,subtype,45,,-0.028839181923217015,-0.025899226473377723,-0.028839181923217015,county
Gölcük,subtype_reverse_duplex,subtype,14,,-0.006080659628047963,-0.025899226473377723,-0.006080659628047963,global_fallback
Karamürsel,subtype_reverse_duplex,subtype,6,,-0.020059676751492513,-0.025899226473377723,-0.020059676751492513,global_fallback
Kartepe,subtype_reverse_duplex,subtype,15,,-0.02642752611324594,-0.025899226473377723,-0.02642752611324594,global_fallback
İzmit,subtype_reverse_duplex,subtype,40,,-0.04389379229025852,-0.025899226473377723,-0.04389379229025852,county
Başiskele,subtype_roof_duplex,subtype,412,,-0.042372686430044944,-0.03336300823788818,-0.042372686430044944,county
Gölcük,subtype_roof_duplex,subtype,200,,-0.008821474391275076,-0.03336300823788818,-0.008821474391275076,county
Karamürsel,subtype_roof_duplex,subtype,41,,0.03016298355085571,-0.03336300823788818,0.03016298355085571,county
Kartepe,subtype_roof_duplex,subtype,197,,-0.04791989894554865,-0.03336300823788818,-0.04791989894554865,county
İzmit,subtype_roof_duplex,subtype,280,,-0.05801899644342784,-0.03336300823788818,-0.05801899644342784,county
Başiskele,subtype_top_floor,subtype,122,,-0.004860037134355114,-0.03091705598013217,-0.004860037134355114,county
Gölcük,subtype_top_floor,subtype,107,,-0.034003939878362505,-0.03091705598013217,-0.034003939878362505,county
Karamürsel,subtype_top_floor,subtype,28,,-0.0995404466931892,-0.03091705598013217,-0.0995404466931892,global_fallback
Kartepe,subtype_top_floor,subtype,111,,-0.010428456632363246,-0.03091705598013217,-0.010428456632363246,county
İzmit,subtype_top_floor,subtype,217,,-0.06602313451655151,-0.03091705598013217,-0.06602313451655151,county
Başiskele,subtype_triplex,subtype,6,,-0.06901679262599603,-0.08046656458786927,-0.06901679262599603,global_fallback
Gölcük,subtype_triplex,subtype,5,,-0.08165891291735941,-0.08046656458786927,-0.08165891291735941,global_fallback
Karamürsel,subtype_triplex,subtype,3,,-0.08285626855769757,-0.08046656458786927,-0.08285626855769757,global_fallback
Kartepe,subtype_triplex,subtype,6,,-0.09503447865255214,-0.08046656458786927,-0.09503447865255214,global_fallback
İzmit,subtype_triplex,subtype,8,,-0.08059580950601448,-0.08046656458786927,-0.08059580950601448,global_fallback
Başiskele,transport_airport,transport,42,,-0.004622367144298093,0.016320686729671685,-0.004622367144298093,county
Gölcük,transport_airport,transport,6,,0.03407494287385077,0.016320686729671685,0.03407494287385077,global_fallback
Karamürsel,transport_airport,transport,6,,0.001989179020146503,0.016320686729671685,0.001989179020146503,global_fallback
Kartepe,transport_airport,transport,79,,0.012196999605355969,0.016320686729671685,0.012196999605355969,county
İzmit,transport_airport,transport,68,,0.02884325204604744,0.016320686729671685,0.02884325204604744,county
Başiskele,transport_bus_stop,transport,1052,,-0.014481544400136236,-0.001578433637348553,-0.014481544400136236,county
Gölcük,transport_bus_stop,transport,558,,-0.0017815601678391059,-0.001578433637348553,-0.0017815601678391059,county
Karamürsel,transport_bus_stop,transport,167,,-0.04151110060766711,-0.001578433637348553,-0.04151110060766711,county
Kartepe,transport_bus_stop,transport,519,,0.014897087860075212,-0.001578433637348553,0.014897087860075212,county
İzmit,transport_bus_stop,transport,1536,,0.008303603915731072,-0.001578433637348553,0.008303603915731072,county
Başiskele,transport_e5,transport,441,,-0.010893165230665493,0.008630499339788322,-0.010893165230665493,county
Gölcük,transport_e5,transport,231,,0.014225868973747002,0.008630499339788322,0.014225868973747002,county
Karamürsel,transport_e5,transport,70,,0.012486945745166622,0.008630499339788322,0.012486945745166622,county
Kartepe,transport_e5,transport,307,,0.007599068848132684,0.008630499339788322,0.007599068848132684,county
İzmit,transport_e5,transport,825,,0.022172041203090055,0.008630499339788322,0.022172041203090055,county
Başiskele,transport_main_road,transport,934,,-0.012208957039044318,0.0026246057993226657,-0.012208957039044318,county
Gölcük,transport_main_road,transport,536,,0.004106245041954376,0.0026246057993226657,0.004106245041954376,county
Karamürsel,transport_main_road,transport,198,,-0.04096466976605555,0.0026246057993226657,-0.04096466976605555,county
Kartepe,transport_main_road,transport,492,,0.02300094320328058,0.0026246057993226657,0.02300094320328058,county
İzmit,transport_main_road,transport,1386,,0.009331382138574278,0.0026246057993226657,0.009331382138574278,county
Başiskele,transport_metro,transport,57,,-0.021619913515152828,-0.006751913393387099,-0.021619913515152828,county
Gölcük,transport_metro,transport,12,,-0.033315799444638756,-0.006751913393387099,-0.033315799444638756,global_fallback
Karamürsel,transport_metro,transport,7,,-0.005922731046830788,-0.006751913393387099,-0.005922731046830788,global_fallback
Kartepe,transport_metro,transport,21,,0.012588342966806037,-0.006751913393387099,0.012588342966806037,global_fallback
İzmit,transport_metro,transport,144,,0.009795441901228245,-0.006751913393387099,0.009795441901228245,county
Başiskele,transport_minibus,transport,899,,-0.012418204583867574,0.0018355685128135235,-0.012418204583867574,county
Gölcük,transport_minibus,transport,626,,-0.003320001935139173,0.0018355685128135235,-0.003320001935139173,county
Karamürsel,transport_minibus,transport,198,,-0.05314858890532045,0.0018355685128135235,-0.05314858890532045,county
Kartepe,transport_minibus,transport,448,,0.02897587459224214,0.0018355685128135235,0.02897587459224214,county
İzmit,transport_minibus,transport,1405,,0.0014169702158413815,0.0018355685128135235,0.0014169702158413815,county
