site_project_id,n,mean_actual,mean_pred,mean_residual
izmit::diamond_prestige_2,1,47717.39,47535.817275357695,-181.57272464230482
izmit::toki_arizli,5,31178.965999999997,31028.095773253717,-150.87022674628534
korfez::ozkardelen,1,26923.08,26802.15379407028,-120.92620592972162
derince::yenikent_toki,2,50591.085,50477.757912134126,-113.32708786586954
derince::genc_isciler,1,27619.05,27528.78129904453,-90.26870095546838
kartepe::cinar,1,40000.0,39954.04474879814,-45.955251201863575
basiskele::mamik_reform,1,50500.0,50462.262622071474,-37.73737792852626
kartepe::son_kartepe_fsm_akev,2,47472.22,47490.47077757209,18.25077757208419
golcuk::golcuk_ihsaniye_balaban_yasam,1,45112.78,45154.759580442966,41.979580442966835
gebze::gebze_kirazpinar_emlak_konutlari_3_etap,1,63053.1,63152.71791359188,99.61791359187919
golcuk::sengun,2,24589.29,24793.775597448996,204.48559744899467
izmit::yuvam_akarca,3,36454.64333333333,36706.15419496301,251.51086162968204
izmit::izmitkent_konutlari_5,3,39755.416666666664,40024.77541621262,269.3587495459554
derince::ozge_bilge,1,23550.72,23845.6110175954,294.8910175954006
darica::sahra_city,1,52500.0,52805.11492202332,305.1149220233201
kartepe::zeray_effect_kartepe,1,44930.38,45249.557672701485,319.1776727014876
gebze::yayla,1,41250.0,41665.523781410615,415.5237814106149
golcuk::seval,1,30588.24,31020.831733714225,432.59173371422366
golcuk::azat_park,1,40000.0,40465.92473383901,465.92473383901233
kartepe::deallife_dan_hasanpasada_butik,1,35714.29,36181.79231178833,467.502311788332
kartepe::neff_vizyon,1,44615.38,45121.36001259474,505.98001259474404
basiskele::kirazli_kent,4,32563.7425,33097.020670292,533.2781702919947
golcuk::hasdayi,2,26609.6,27151.15072205914,541.5507220591408
izmit::lilyum_park_3,1,46896.55,47490.87924523727,594.3292452372698
gebze::bogazici,1,48000.0,48608.2263450873,608.2263450872997
cayirova::meva_anadolu,5,57595.121999999996,58279.46217986266,684.3401798626553
kartepe::acill_deallife_dan_ataevlerde,1,26821.43,27540.690341453854,719.2603414538535
korfez::emlak_korfezkent_1,2,45474.14,46248.26009677156,774.1200967715595
basiskele::altin_vadi,4,33254.105,34063.028696489535,808.9236964895354
korfez::sehr_i_seyir_konaklari,1,41250.0,42131.34968831773,881.3496883177286
