osm_id,osm_type,lat,lon,category,subcategory,name,amenity,shop,leisure,highway,public_transport,railway
6445715280,node,40.6914689,29.6161707,health,pharmacy,Yıldız Eczanesi,pharmacy,,,,,
6445715693,node,40.6934195,29.6258701,education,kindergarten,Özel Karamürsel Beyaz Zambak Anaokulu,kindergarten,,,,,
6463570177,node,40.969258,29.4587487,daily,supermarket,Seç,,supermarket,,,,
6463570182,node,40.9692473,29.4584702,transport,bus_stop,Göçbeyli,,,,bus_stop,platform,
6463570183,node,40.9692734,29.4586308,transport,bus_stop,Göçbeyli,,,,bus_stop,platform,
6463594424,node,40.9802925,29.4589049,transport,bus_stop,Göçbeyli Merkez Camii,,,,bus_stop,platform,
6463594450,node,40.9768268,29.4588679,education,school,Göçbeyli İlkokulu,school,,,,,
6463594451,node,40.9766118,29.4589633,education,school,Göçbeyli Ortaokulu,school,,,,,
6463594456,node,40.9769379,29.4592715,transport,bus_stop,İlkokul,,,,bus_stop,platform,
6463594457,node,40.9768797,29.4593743,transport,bus_stop,İlkokul,,,,bus_stop,platform,
6483715797,node,40.7056536,29.860545,transport,bus_stop,,,,,bus_stop,platform,
6483736714,node,40.7057475,29.8631658,daily,restaurant,Erzurum Cağ Kebabı,restaurant,,,,,
