county,model,feature,importance
Başiskele,extra_trees,num__large_home_detail_premium_x_m2,0.0011741135949074227
Başiskele,extra_trees,cat__m2_group_151-200,0.001149605922362334
Başiskele,extra_trees,num__coastal_access_score,0.001148521168896641
Başiskele,extra_trees,num__is_ground_floor,0.0011272910244198102
Başiskele,extra_trees,num__distance_to_coastline_m,0.001125041986066393
Başiskele,extra_trees,num__county_room_count_target_median,0.0011235822192470098
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_other||101-125,0.001117027431287695
Başiskele,extra_trees,num__basiskele_has_view_signal,0.0010263673980794891
Başiskele,extra_trees,num__basiskele_premium_x_large_home,0.0010241006470858081
Başiskele,extra_trees,num__district_rent_m2_iqr,0.0010192085690908376
Başiskele,extra_trees,cat__building_age_group_0 (Yapım Aşamasında),0.001015506825588216
Başiskele,extra_trees,cat__parking_Kapalı Otopark,0.001015140707828495
Başiskele,extra_trees,cat__site_inside_Hayır,0.001009373834546751
Başiskele,extra_trees,num__total_room_score,0.0009877494199386908
Başiskele,extra_trees,cat__floor_segment_Çatı,0.0009844402930373184
Başiskele,extra_trees,num__demo_car_per_capita,0.0009843695733544387
Başiskele,extra_trees,num__trend_rent_m2,0.0009810684143329812
Başiskele,extra_trees,cat__m2_group_200+,0.0009775592773378077
Başiskele,extra_trees,cat__detail_cephe_Doğu,0.000976920208011162
Başiskele,extra_trees,num__demo_young_ratio,0.0009586846451597603
Başiskele,extra_trees,num__basiskele_premium_bucket_county_mean,0.0009503212680575609
Başiskele,extra_trees,cat__coast_distance_bucket_3000_plus,0.0009401567783272467
Başiskele,extra_trees,num__rooms,0.0009363564725112215
Başiskele,extra_trees,num__trend_yield,0.0009224208614183815
Başiskele,extra_trees,cat__geo_cluster_city_city_5,0.0009137020930741433
Başiskele,extra_trees,num__basiskele_premium_bucket_county_median,0.000894514518051748
Başiskele,extra_trees,num__attr_is_mid_age_building,0.0008943514304174639
Başiskele,extra_trees,cat__coast_distance_bucket_0_500,0.0008888672812195034
Başiskele,extra_trees,cat__geo_cluster_county_Başiskele_0,0.0008862900172127435
Başiskele,extra_trees,cat__detail_cephe_Batı|Güney,0.0008812785650899067
Başiskele,extra_trees,cat__geo_cluster_x_room_count_city_5||4+1,0.0008765788693417628
Başiskele,extra_trees,num__trend_count_sale,0.0008733145018167581
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_3||101-125,0.0008671122128930714
Başiskele,extra_trees,num__demo_atm_count,0.0008541755543460361
Başiskele,extra_trees,cat__furnished_Hayır,0.0008534647387704739
Başiskele,extra_trees,num__attr_is_new_building,0.0008516874525228693
Başiskele,extra_trees,num__demo_age_0_14,0.0008500764219694001
Başiskele,extra_trees,cat__furnished_Evet,0.0008480413859236771
Başiskele,extra_trees,num__demo_education_high_school_ratio,0.0008464358442741526
Başiskele,extra_trees,cat__detail_konut_tipi_Çatı Dubleksi,0.0008427829679495441
Başiskele,extra_trees,num__basiskele_premium_x_district_target_median,0.0008409202443141326
Başiskele,extra_trees,num__attr_effect_site_inside,0.0008403829923606425
Başiskele,extra_trees,cat__detail_manzara_missing,0.0008395972554920919
Başiskele,extra_trees,num__demo_middle_ratio,0.000837486874518666
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||101-125,0.000836939703912894
Başiskele,extra_trees,num__trend_count_rent,0.0008299166778902835
Başiskele,extra_trees,num__demo_female_ratio,0.00082529831323318
Başiskele,extra_trees,cat__site_inside_Evet,0.0008227705122774847
Başiskele,extra_trees,num__bsk_coastal_x_geo_cluster,0.000819292399552124
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_0||126-150,0.000818462179819822
Başiskele,extra_trees,num__attr_is_site_inside,0.0008104145604694242
Başiskele,extra_trees,num__demo_young_ratio_diff_county,0.0008063392813105447
Başiskele,extra_trees,num__district_rent_m2_count,0.0008021608193981017
Başiskele,extra_trees,cat__geo_cluster_x_room_count_city_1||3+1,0.0007980201522783569
Başiskele,extra_trees,cat__basiskele_geo_cluster_x_m2_group_Başiskele_1||126-150,0.0007914907126931041
Başiskele,extra_trees,num__trend_listing_period_sale,0.0007906100558470945
Başiskele,extra_trees,num__demo_ses_b_ratio,0.000788677394794559
Başiskele,extra_trees,cat__detail_manzara_Doğa,0.0007795357668929508
Başiskele,extra_trees,num__basiskele_premium_bucket_low,0.0007784518839081411
